frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp,x_gt,z_gt
34,-0.6156450274415123,49.90990266616904,-0.6210977247014993,50.06511757289465,-4.546583932076693,45.75025697404667,-5.3059079154140925,45.68830894838512,-0.7001992,48.19774
35,-0.5980378453239785,51.185611823376746,-0.6034081267231285,51.34973229416115,-4.5441100883010845,46.972958742589064,-5.321116026755681,46.90906789057959,-0.6975233,49.40741
36,-0.5751241058619577,52.43617913662287,-0.5809032499072269,52.616961821407045,-4.53966540561525,48.18107000893372,-5.330954716831318,48.12344208764363,-0.690361,50.60553
37,-0.54177820040098,53.66665750159615,-0.5483495646611007,53.874941640774615,-4.527940881177021,49.37752400926774,-5.329410186033409,49.330064045961834,-0.6759702,51.79127
38,-0.5001379806334653,54.88319842588947,-0.5077072617217293,55.117259246830706,-4.50552875819032,50.55957210882197,-5.315078472836634,50.52619284226854,-0.6473751,52.9688
39,-0.44790704564513056,56.089932295530325,-0.4555648880270825,56.34801122085816,-4.468905652025217,51.74020589485172,-5.280930326690127,51.71821912202135,-0.6094624,54.13296
40,-0.38273941674087203,57.28501444867929,-0.38840669839961717,57.563728072243066,-4.4160100651689325,52.91522298646466,-5.229114117378212,52.905806433315334,-0.5600621,55.2811
41,-0.30053933530051574,58.46695706964627,-0.30369517560592824,58.765015364562274,-4.344333218584814,54.07966639200471,-5.158176808045721,54.07960928771868,-0.4934098,56.41219
42,-0.19992416198975374,59.640950543561026,-0.19918987662478133,59.953390581330744,-4.252459962058226,55.23657276093398,-5.066210620037842,55.24256894849497,-0.4111119,57.53105
43,-0.0765681485671404,60.8035754015028,-0.07344206985129634,61.12804602570481,-4.134510956475894,56.380972930525594,-4.951594841568123,56.39379848503319,-0.3043738,58.64015
44,0.06791993968977546,61.94718846516613,0.07489591622432035,62.28553231456076,-3.99189109803913,57.51566382930642,-4.812833041538932,57.53685511741506,-0.1772585,59.73159
45,0.2364796748961463,63.076694328593696,0.24589726901680972,63.42779171413193,-3.8235161116991248,58.63923358474333,-4.648879241370654,58.66671058250752,-0.03027954,60.80734
46,0.42865324469371374,64.18831177962228,0.440036453282244,64.55273781247989,-3.6342014231503175,59.74738306541924,-4.460960650610766,59.78294629769835,0.1414162,61.86839
47,0.6464550430323613,65.28545675741098,0.6595355031705822,65.66222839143842,-3.4197057674160685,60.844794575917795,-4.247319876105808,60.89343004045827,0.3429236,62.91291
48,0.8902778278455457,66.3648352209526,0.9054627022765905,66.75525722966097,-3.178813787463766,61.933503369302045,-4.007441212188114,61.99497424458385,0.5688516,63.94069
49,1.1593642189118625,67.42998389762579,1.1762705132664983,67.83442657999467,-2.910706366986606,63.01059063613182,-3.740572958027688,63.08124574535201,0.822607,64.949
50,1.4565132026697416,68.48065140620328,1.4761309306977122,68.90046809974699,-2.616011706811605,64.07292511620042,-3.4474536022341127,64.14952727829848,1.098599,65.93481
51,1.781327409834074,69.51722129525228,1.8036949117312038,69.95148322778164,-2.296087627463692,65.11281248508715,-3.12872242773321,65.19484234042864,1.400581,66.90386
52,2.135680366884819,70.54087648479899,2.1599660373176404,70.98890798697082,-1.951173750919735,66.13405394670731,-2.7854787498566784,66.21853178957774,1.71945,67.85621
53,2.5173486712450845,71.54280667852385,2.5420455882294632,72.00018736936016,-1.579907826864996,67.13440341608215,-2.415567501216888,67.22103833727206,2.070873,68.79155
54,2.9269398538555302,72.52395104385573,2.951826037261684,72.98714760553152,-1.1842810906453392,68.10622781034817,-2.0199199374247367,68.19786261775677,2.445156,69.70243
55,3.3625426014121653,73.48278101086026,3.3883348490744356,73.95160343558001,-0.7643946417883623,69.0511214107366,-1.5969135465318498,69.15522953754429,2.836652,70.58836
56,3.826308740561557,74.4207622694989,3.8522834124945304,74.89550671978247,-0.3179509100015306,69.97634087114764,-1.144808602859038,70.09478617227659,3.253649,71.45272
57,4.314423487163767,75.33357531553771,4.343251675509282,75.81632999187107,0.15215099526407005,70.8727100751345,-0.6682190703825783,71.00381241975352,3.697183,72.3001
58,4.825138272689391,76.21781500565896,4.857312546747003,76.70967230875806,0.6485005275341971,71.74582309913043,-0.1651392444276787,71.88798268594361,4.16577,73.1322
59,5.359015176755246,77.0712675198451,5.396144205768538,77.57520496307056,1.1719380831629231,72.59365696236965,0.3629458069016278,72.74560500570615,4.656399,73.95134
60,5.919622629672896,77.89964598514452,5.960994725001343,78.41312411333409,1.7212643719659841,73.41407723710786,0.9170973715517517,73.57587206721217,5.171922,74.74042
61,6.506446050615909,78.70358915434957,6.552649865490881,79.22511112339211,2.2984913465030004,74.21176487205395,1.4978723476844142,74.38152101620423,5.707425,75.50137
62,7.116757947464283,79.4787863507143,7.168889922856783,80.00890570789585,2.8994262640162196,74.97996582426828,2.1040931143016515,75.1601353926344,6.267395,76.23592
63,7.750476223018124,80.22536974954821,7.810324635479435,80.76425994758779,3.5207242880633682,75.7169536228996,2.73285770197553,75.90869832328755,6.852965,76.94187
64,8.402980310947843,80.94119727568874,8.472321259894136,81.48842256256428,4.165143475387637,76.42954242657754,3.3842640258960217,76.62892183498964,7.469758,77.62714
65,9.07768452895003,81.62983764732256,9.153967490354628,82.182930024515,4.8299963687422265,77.11475542830763,4.055800648847402,77.31958917816733,8.102844,78.28406
66,9.775451888419925,82.29028553040597,9.857875529249636,82.8477223109141,5.517668601771406,77.77345342812853,4.749466382786052,77.98301171056224,8.750799,78.9059
67,10.49213151790803,82.92065796865023,10.580510599084516,83.48260883472216,6.225097774071744,78.40392648456987,5.462902693446291,78.61805726833595,9.420955,79.5064
68,11.22703358299513,83.51958930075848,11.320568221267193,84.08621795246084,6.950601594926246,79.00535306505597,6.193233582738516,79.22494556433608,10.10937,80.08158
69,11.977626219609366,84.08678411312754,12.076434516331394,84.65917325649178,7.691374116961874,79.57786956733891,6.939475706631513,79.80414689701416,10.82345,80.63432
70,12.74292456765807,84.62319516439895,12.848475600482924,85.20121608918369,8.449146900850609,80.12227205869891,7.701836395426593,80.3529816328651,11.55404,81.16168
71,13.524770094618747,85.13006696826955,13.636344411137483,85.71276566836264,9.22224786218858,80.64035609204056,8.480070743064315,80.87553735582367,12.29823,81.67543
72,14.3219187298559,85.60633582734395,14.438980496547211,86.19409436449648,10.011604257043315,81.13242827800296,9.27439576722902,81.37138499554865,13.06621,82.17844
73,15.131954112560134,86.05200264478566,15.255458825011974,86.6438157046981,10.813852439155632,81.59460991902137,10.082223563712422,81.83544744372726,13.85636,82.66054
74,15.95638628533397,86.46748737359268,16.086869480620248,87.06348447704596,11.631259123745089,82.02996990331978,10.906618672581143,82.2722927469059,14.67086,83.10277
75,16.794752965701697,86.85464125035321,16.930879198613674,87.4538164399283,12.464764611351502,82.43637873676913,11.745917352720863,82.67870499834558,15.50495,83.5264
76,17.649327680758773,87.21226975208647,17.79154780148594,87.81446675232245,13.313700049068977,82.81091526203417,12.600155280345332,83.05254048263362,16.35188,83.90596
77,18.519201020879997,87.53971359542028,18.66718700804758,88.14357805700212,14.177256431158554,83.15454328190853,13.467537384032996,83.39305875427938,17.21884,84.2663
78,19.404529491066327,87.83645917131466,19.557384669588426,88.4411531826147,15.055101797218583,83.46386651402698,14.348306225150267,83.70030524036588,18.10134,84.58881
79,20.304033003723976,88.09982793560481,20.46030528155704,88.70408572251992,15.944964208066507,83.73705792869555,15.240809129858322,83.9725731151929,19.00345,84.87369
80,21.216316255914716,88.32988908070662,21.37427079617938,88.93221033013883,16.847172231674936,83.97510381342404,16.14391589431805,84.20855682043184,19.92032,85.12286
81,22.13981735996293,88.52503038160445,22.29728834983572,89.12433849032662,17.758041367674824,84.1750852994904,17.055387605895486,84.40781810270389,20.85317,85.33947
82,23.078169124833984,88.6860142339944,23.234215243035237,89.28359795500566,18.682305333995583,84.34003258019268,17.98189325910084,84.57321851967777,21.79622,85.51592
83,24.02650897750411,88.81272800424841,24.181722371485925,89.40965243326032,19.616365986104146,84.4709917651811,18.917776057921177,84.70514661097344,22.74979,85.65402
84,24.982700053695293,88.90549583752687,25.13724051105387,89.50245070683323,20.55987520981021,84.56774192146896,19.86294805031745,84.80341684440648,23.70411,85.75774
85,25.94719026909636,88.96626395941203,26.10033763633948,89.5651569597587,21.513223787634026,84.63159785422593,20.816903100536372,84.869973404737,24.66336,85.83875
86,26.917223436848353,88.9975939994579,27.06752134765006,89.59810350860278,22.472292210929574,84.6676428089172,21.77420329151824,84.91006130359959,25.62625,85.88405
87,27.891131116711712,89.00388219308834,28.036377822158205,89.60624059827211,23.436815449276022,84.68109104126441,22.734608085594324,84.92785577289267,26.5967,85.9035
88,28.871348603032203,88.99073595840758,29.008966249450356,89.5948871716508,24.41097392421893,84.67504385802815,23.702105426226534,84.9251542531216,27.57774,85.9082
89,29.84975927547873,88.960721202283,29.981741354594522,89.56692457718758,25.383442277194508,84.65311207771376,24.669541274103047,84.90579101059174,28.56061,85.89204
90,30.831442031631767,88.91622538027453,30.958498250857996,89.52408377641083,26.358237210927314,84.61927036911132,25.637352791546732,84.87463991195206,29.53912,85.86002
91,31.813644912158228,88.85917011204488,31.93720714904075,89.46728796459004,27.33274100426764,84.57466125026582,26.6065792203122,84.83033755749737,30.52056,85.8096
92,32.797670183622444,88.79033727632664,32.91847776802052,89.39854852158491,28.308181142168838,84.52259777817791,27.57786245131923,84.77695620097242,31.50611,85.7461
93,33.78733433986877,88.7128073870933,33.90687488474029,89.31907092382271,29.28837433775947,84.46134918431136,28.554741562593104,84.7131574059671,32.49553,85.66974
94,34.77959062806361,88.62995798629197,34.89786614563338,89.23353574063955,30.27130818202818,84.39388144570597,29.53633349243876,84.64272797099798,33.48523,85.5875
95,35.77519580973425,88.54410315410995,35.89090185682978,89.14673764529853,31.255346360289263,84.32598270360548,30.520218795586473,84.57224312402613,34.47574,85.50585
96,36.77670599529921,88.45416914735215,36.8886103408156,89.05637208581771,32.24431480910069,84.2579851867076,31.507902065751054,84.50216101584677,35.47392,85.41929
97,37.78283416407152,88.36087767377424,37.89018804757581,88.96328311528187,33.238939487509434,84.18696475939417,32.49831040856371,84.4306730878852,36.47409,85.33282
98,38.79069307440663,88.2665455475816,38.89276070143615,88.86999671173253,34.234693011901506,84.11471683455797,33.48871511586906,84.35754074358987,37.47623,85.24353
99,39.80130126254783,88.17172391092076,39.89700011915751,88.77627981804258,35.23255449351169,84.04101565985616,34.47990635454212,84.28392203332028,38.47939,85.15093
100,40.816317537085,88.0758910581552,40.908123563843446,88.67980986931975,36.232472429932805,83.97222405274167,35.47374651647287,84.21519669462054,39.48794,85.04711
101,41.83547393200512,87.97757589942715,41.92595733484658,88.57920614097083,37.228518247741874,83.90797391659405,36.46626926337352,84.14918475164092,40.50491,84.94335
102,42.862257641341195,87.87616853790465,42.951064277050136,88.47717215243537,38.226799546975975,83.84093678828489,37.46193150282778,84.07942778367676,41.52314,84.84011
103,43.89129830543078,87.75450564767813,43.977349830193056,88.34665842723881,39.22298322450628,83.76905955957835,38.45589251141652,84.00354993118559,42.54154,84.7334
104,44.9233274349372,87.59739801058821,45.00449971378895,88.17259058752866,40.220210769854205,83.68833540665968,39.45133689222777,83.91571908881275,43.56321,84.62639
105,45.96037524141553,87.43578860963456,46.03623269825819,88.00849029955631,41.217617648553734,83.60419902500941,40.44758092255778,83.82500665715393,44.59161,84.51273
106,47.00279789412663,87.27118710940245,47.07197808525119,87.8538745948357,42.216989814385066,83.51603410596044,41.446775924949655,83.73158571761647,45.6239,84.39616
107,48.04785989528717,87.10627281391056,48.110353076346186,87.70828829343672,43.221175166212944,83.41885965288256,42.45219131132227,83.63439460262241,46.65834,84.28026
108,49.09278791807878,86.94237828114386,49.151355186097234,87.56934131051882,44.22862721310585,83.31308879573236,43.4600733372397,83.53325155452723,47.69859,84.15974
109,50.138259536392354,86.7763674524705,50.1946833943058,87.43374927504824,45.23872136618117,83.20097437606587,44.47050268262931,83.42661762856832,48.74265,84.03799
110,51.187645978122646,86.62779171664276,51.24120266992111,87.30048182469162,46.25424145820913,83.084914130317,45.4842959585927,83.31552331400427,49.79767,83.91179
111,52.24108736984882,86.50982545669315,52.28866753116677,87.16711556872582,47.27342997138472,82.97190809321208,46.49979257534046,83.20386905563281,50.8513,83.78036
112,53.29556472654732,86.3920817595922,53.33850080488501,87.03566418229947,48.29647785712152,82.85854381985051,47.5178155498275,83.09347457170401,51.90709,83.64593
113,54.34889466983478,86.27328036840105,54.38832292176058,86.90531150959556,49.31914849425544,82.74369628606343,48.53501341918351,82.98186598483373,52.96284,83.50873
114,55.40465888818011,86.15229129493594,55.440584401518905,86.77543568274733,50.340968374100484,82.62707754099756,49.552811043057375,82.86692192858888,54.02128,83.37012
115,56.46216122501255,86.02984610249236,56.49520083815579,86.64672233100735,51.36033767249899,82.51321887212107,50.56715344026344,82.75513007021749,55.08951,83.23118
116,57.52066561941638,85.9079882284571,57.5513662511739,86.51991993763612,52.37621449129821,82.40555350822883,51.57827701103529,82.64842602065032,56.16217,83.09674
117,58.58002078281632,85.78731973364252,58.60880238431523,86.39630348133736,53.38883320695244,82.30320547811559,52.58743173938622,82.54560217385452,57.23648,82.9632
118,59.64055960582498,85.66940578937891,59.66768544728949,86.27560494042473,54.397289825064995,82.20512091607287,53.59433406877297,82.44760446992457,58.31225,82.83188
119,60.70551578813501,85.55118263295815,60.73150995586306,86.15523079581284,55.40387196590039,82.1082014149051,54.601554202212725,82.35108861152395,59.39428,82.69832
120,61.77181977824088,85.43494219804629,61.79639622997313,86.03752142521728,56.41699482039321,82.012932859055,55.621160046401585,82.25389822585247,60.48415,82.56445
121,62.84153444722505,85.31725906464658,62.86409399044996,85.91666323232529,57.4397408755043,81.91889976051665,56.65302560022703,82.15312182632701,61.58947,82.42007
122,63.912882307337725,85.19997942343494,63.933406087790885,85.79625122455919,58.47240639954254,81.82217712573218,57.692564105065166,82.04945228167215,62.69201,82.27636
123,64.98709973742642,85.07912866568242,65.00477616444687,85.6707173128901,59.517507860737155,81.72198714436885,58.740748645497945,81.94404297743031,63.80163,82.12657
124,66.06217515814444,84.9567108924811,66.0763197588691,85.54549050956182,60.57269643568577,81.6169093325073,59.794409573840305,81.83498219410063,64.90299,81.97173
125,67.14251697744757,84.83144939641977,67.1552742053545,85.41869815146782,61.63752357449363,81.50635393105988,60.85180067114454,81.7234975650984,66.00675,81.81847
126,68.22695699596913,84.7048390871097,68.23931044023071,85.29156043030571,62.71380293276059,81.39223835069289,61.91392313394359,81.61109787838457,67.11535,81.67129
127,69.31641829536892,84.57539792059762,69.32968598517895,85.1642502574416,63.79328995454307,81.27504501521265,62.98415413872245,81.49667299682439,68.22842,81.52737
128,70.41512152604247,84.44570871856034,70.42873320641884,85.0360767193604,64.87464565763543,81.13648112349252,64.05716563370808,81.35283810433661,69.35294,81.38834
129,71.51928146456268,84.31412138815843,71.53079071060519,84.90764368447405,65.95934448862837,80.99626981190161,65.1342915200878,81.21294004231311,70.485,81.24871
130,72.63383980755978,84.18519655812446,72.64174880036155,84.78013791340553,67.05027445194851,80.8517192948212,66.22008645502336,81.07319819840447,71.62116,81.11025
131,73.75549359900386,84.05604944372747,73.75689638611216,84.65314132774763,68.13780470807393,80.70120973162788,67.3010441501866,80.92849110924242,72.75311,80.97266
132,74.88466920912431,83.92572519303666,74.88100843166008,84.52320309824258,69.22879189996739,80.54835861644986,68.3848575935146,80.78516922555744,73.88909,80.83141
133,76.02135389749253,83.79568368317706,76.01104363328903,84.39377051829736,70.32534785329123,80.39324256409874,69.47524879520482,80.64396399919605,75.02755,80.68962
134,77.16187901351115,83.66626641317765,77.14528872924706,84.2651002927398,71.4224304704604,80.23814677096787,70.57050093553295,80.50612498192106,76.17779,80.54753
135,78.30837336756503,83.53758738792656,78.28607480546684,84.13703913803334,72.52965676036341,80.10151214517649,71.6761199869131,80.36952190535797,77.33948,80.40286
136,79.46075658962405,83.40858893962529,79.42987347257913,84.00834096320614,73.64059838707415,79.9644334399901,72.7846570156831,80.23488422699778,78.49684,80.2607
137,80.61544878687663,83.28017609307699,80.57686275718372,83.88149751213896,74.74603143384887,79.83070161353523,73.8873056884817,80.10410894209528,79.65385,80.12242
138,81.77422402391724,83.1514287884034,81.72756734841094,83.7545811381012,75.85764322331532,79.69802950067786,74.99141358950342,79.96804584368111,80.81443,79.98194
139,82.93261808769243,83.02454920322066,82.87921211419899,83.62766769273748,76.97876211153981,79.56691417989153,76.10665804953194,79.83416339025261,81.98866,79.84084
140,84.09238835197053,82.89881144056189,84.03316012000163,83.50180579042217,78.10689995338969,79.43599293362328,77.2319411126948,79.70035073346487,83.14911,79.7018
141,85.25917685607493,82.773233667818,85.19664931064358,83.37573102088881,79.24369228424864,79.30462332100717,78.3674947084384,79.56732312993029,84.31156,79.56056
142,86.43214852090182,82.64917233192645,86.36864071777644,83.25114051198705,80.38308989484783,79.17588050932697,79.50820524982078,79.43755409876798,85.48133,79.41861
143,87.61225750582147,82.52569335991636,87.54782641367188,83.12645987729887,81.52964956823548,79.04800767403889,80.65525835227265,79.31001744687627,86.65574,79.27416
144,88.79776610520776,82.40286884680435,88.73165268750087,83.00392641962671,82.68819407648805,78.9199863948467,81.8064235744676,79.18483421798268,87.84314,79.13297
145,89.98970955272159,82.28015600770938,89.91989870676964,82.8811567782146,83.86029348614596,78.79732163796977,82.96746823952306,79.06124225288312,89.03034,78.99178
146,91.1913335395749,82.15932617637658,91.11560654212292,82.76094924528738,85.03850499230043,78.67497352887469,84.13725688962518,78.93854403823114,90.23925,78.85004
147,92.39953448330809,82.0388048334467,92.31405924333784,82.64140923948587,86.22392200526878,78.55549910367141,85.3163367504182,78.8182534047911,91.45274,78.71205
148,93.60831945861071,81.91993454848259,93.51364997500261,82.52291361953962,87.4127530309483,78.43956678102813,86.49939719885735,78.7012224231242,92.66639,78.57336
149,94.8219919767096,81.80420923993739,94.72148580702931,82.40836048052007,88.61212828419526,78.32694181357992,87.69297499597408,78.58842020880502,93.88743,78.43781
150,96.0382293509798,81.69034121653388,95.93306336789773,82.29449690113817,89.81585702814024,78.21296865030025,88.88854408701239,78.4727418264664,95.10911,78.30262
151,97.25989883167286,81.57722394563255,97.15113025033739,82.18173295333334,91.02263205472819,78.09630948902287,90.08347910829914,78.35332273405892,96.33804,78.17155
152,98.48809321473988,81.46614069442619,98.37592197336812,82.06993871623735,92.23556180544098,77.98225448331425,91.28816220073543,78.23833206677706,97.56935,78.05765
153,99.71804109722876,81.35640541290832,99.60255162692704,81.96113602391254,93.44680348644026,77.8704286370119,92.48976721056829,78.12636102355884,98.80208,77.93983
154,100.9546165581577,81.24629477378485,100.83481040181799,81.85084398649487,94.65708172072742,77.75583554927694,93.69273595909037,78.01145014087699,100.0429,77.8218
155,102.1989274975395,81.13555913419331,102.0734058395025,81.73927981986539,95.86788841980174,77.6374066834499,94.89675142420236,77.89374963709147,101.2886,77.69989
156,103.44931822495049,81.02076529039148,103.31834233241575,81.6245022699016,97.07955012282453,77.5148852117376,96.10572588355244,77.77458432349081,102.5376,77.57772
157,104.7016566598221,80.90565228424953,104.56567421768331,81.50894317527246,98.29202784937954,77.39336880132308,97.31803313966444,77.65414181144823,103.7849,77.45043
158,105.95883370310546,80.78713936833489,105.81781510862032,81.38922070003343,99.51211255482133,77.27292678485784,98.5357152434803,77.53159695293158,105.0341,77.31942
159,107.21814849922394,80.66559641979504,107.07197794193316,81.2669492745545,100.73140662636871,77.14733491923556,99.75662732267025,77.40619945302359,106.2831,77.18259
160,108.48141338008183,80.5384154933915,108.32890961035964,81.14108071253149,101.95561253117761,77.01624884970501,100.97932259280655,77.27742880356989,107.5331,77.04728
161,109.74959924468541,80.40389321907982,109.59117789669806,81.00666953598548,103.18507810920725,76.88053762040188,102.20545250468183,77.14245353885757,108.7743,76.90436
162,111.01618696043107,80.26304022474949,110.85279163828642,80.86704148870456,104.41554982692632,76.7401636881087,103.4306084298456,77.00229920025821,110.0019,76.76378
163,112.29230462571614,80.11152905195647,112.1239514642721,80.71596749763862,105.65687403569774,76.58929589416309,104.66633729203474,76.85158160227114,111.2386,76.60787
164,113.552854308154,79.94852109379718,113.37981267313796,80.5541740832266,106.8829534878902,76.42821548861599,105.88773797493918,76.69050776682886,112.4618,76.43702
165,114.81897810093925,79.76930624079075,114.641792156183,80.37487487193025,108.1177039896132,76.25088730266701,107.12020217852154,76.51280697069099,113.6907,76.25308
166,116.08205677036429,79.57196794013336,115.89877555049729,80.17855306255987,109.35439372345283,76.0550986743717,108.35483452629559,76.31641278549687,114.9114,76.04901
167,117.33518800191698,79.3555428047475,117.14587923932355,79.96401170848587,110.58832976414092,75.83785350214717,109.58636254246005,76.0982150438696,116.1296,75.82078
168,118.57956416747237,79.12250401596579,118.38597884857046,79.73177029516185,111.81758768291132,75.6015978869986,110.81113280040819,75.86177433662887,117.341,75.5813
169,119.81635596785523,78.86658359302386,119.62120227028264,79.47710210373273,113.0368315516715,75.34365519207985,112.02312407962576,75.60566419682489,118.5414,75.31661
170,121.04443284810307,78.59121527782625,120.85004198743421,79.20302845796363,114.2403616085306,75.06715934856874,113.21767488269195,75.33272045868695,119.7281,75.04274
171,122.26201984648935,78.29738572440164,122.07004335670024,78.91084933835306,115.43208565269018,74.77463533997802,114.40199773943804,75.0455774048134,120.9037,74.7513
172,123.46819684212032,77.98720644744796,123.28027283982294,78.60171608830368,116.60849210801692,74.46567858548167,115.57653062897636,74.7411482298473,122.0798,74.44731
173,124.66654357380673,77.65947316927392,124.48186199966185,78.27534720895883,117.77418316211477,74.14047938318821,116.74667197349942,74.41838572843568,123.2631,74.12704
174,125.85658459916239,77.31473559894911,125.67409971399832,77.93189262907711,118.92550982665462,73.80127670348806,117.90707758092753,74.07759887633978,124.4375,73.78566
175,127.03945918213951,76.95128775049818,126.85887452862632,77.56950508324056,120.06763913481373,73.4460221941877,119.06049792222746,73.7194572708888,125.5966,73.42718
176,128.21245876501365,76.57225679349727,128.03506608062585,77.18820366934419,121.20502884423608,73.07662130133055,120.20800938298284,73.34599344847112,126.7459,73.04799
