timestamp,speed_sp_ma,speed_sp_lp,speed_sift_ma,speed_sift_lp,speed_gt
1.950000,0.000000,0.000000,0.007376,0.006830,0.000000
2.000000,0.000000,0.000000,0.007756,0.007203,0.000000
2.050000,0.000000,0.000000,0.008060,0.007372,0.000000
2.100000,0.000000,0.000000,0.008321,0.007514,0.000000
2.150000,0.000000,0.000000,0.006999,0.005474,0.000000
2.200000,0.000000,0.000000,0.005302,0.004026,0.000000
2.250000,0.000000,0.000000,0.003782,0.002754,0.000000
2.300000,0.000000,0.000000,0.002485,0.002010,0.000000
2.350000,0.000000,0.000000,0.001039,0.001212,0.000000
2.400000,0.000000,0.000000,0.000938,0.000404,0.000000
2.450000,0.000000,0.000000,0.002384,0.000461,0.000000
2.500000,0.000000,0.000000,0.002365,0.000887,0.000000
2.550000,0.000000,0.000000,0.002461,0.001248,0.000000
2.600000,0.000000,0.000000,0.002455,0.001512,0.000000
2.650000,0.000000,0.000000,0.002674,0.001736,0.000000
2.700000,0.000000,0.000000,0.002404,0.001413,0.000000
2.750000,0.000000,0.000000,0.001812,0.000964,0.000000
2.800000,0.000000,0.000000,0.001353,0.000744,0.000000
2.850000,0.000000,0.000000,0.001104,0.000733,0.000000
2.900000,0.000000,0.000000,0.000823,0.000605,0.000000
2.950000,0.000000,0.000000,0.001246,0.001181,0.000000
3.000000,0.000000,0.000000,0.001827,0.001428,0.000000
3.050000,0.000000,0.000000,0.002154,0.001646,0.000000
3.100000,0.000000,0.000000,0.002268,0.001789,0.000000
3.150000,0.000000,0.000000,0.002077,0.001401,0.000000
3.200000,0.000000,0.000000,0.002057,0.001225,0.000000
3.250000,0.000000,0.000000,0.001789,0.001111,0.000000
3.300000,0.000000,0.000000,0.001325,0.001045,0.000000
3.350000,0.000000,0.000000,0.000935,0.000708,0.000000
3.400000,0.000000,0.000000,0.000999,0.000766,0.000000
3.450000,0.000000,0.000000,0.001516,0.001254,0.000000
3.500000,0.000000,0.000000,0.001997,0.001767,0.000000
3.550000,0.000000,0.000000,0.002132,0.001666,0.000000
3.600000,0.000000,0.000000,0.002430,0.001948,0.000000
3.650000,0.000000,0.000000,0.002344,0.001733,0.000000
3.700000,0.000000,0.000000,0.001924,0.001220,0.000000
3.750000,0.000000,0.000000,0.001921,0.001372,0.000000
3.800000,0.000000,0.000000,0.001704,0.001519,0.000000
3.850000,0.000000,0.000000,0.001573,0.001676,0.000000
3.900000,0.000000,0.000000,0.001443,0.001418,0.000000
3.950000,0.000000,0.000000,0.001025,0.001064,0.000000
4.000000,0.000000,0.000000,0.001030,0.001127,0.000000
4.050000,0.000000,0.000000,0.001293,0.001346,0.000000
4.100000,0.000000,0.000000,0.001390,0.001631,0.000000
4.150000,0.000000,0.000000,0.001867,0.001890,0.000000
4.200000,0.000000,0.000000,0.002509,0.002596,0.000000
4.250000,0.000000,0.000000,0.003339,0.003176,0.000000
4.300000,0.000000,0.000000,0.004123,0.003634,0.000000
4.350000,0.000000,0.000000,0.004453,0.004007,0.000000
4.400000,0.000000,0.000000,0.004368,0.003670,0.000000
4.450000,0.000000,0.000000,0.004607,0.003815,0.000000
4.500000,0.000000,0.000000,0.004686,0.003787,0.000000
4.550000,0.000000,0.000000,0.004617,0.004077,0.000000
4.600000,0.000000,0.000000,0.004744,0.004571,0.000000
4.650000,0.000000,0.000000,0.004573,0.004443,0.000000
4.700000,0.000000,0.000000,0.004419,0.004468,0.000000
4.750000,0.000000,0.000000,0.004763,0.004533,0.000000
4.800000,0.000000,0.000000,0.004722,0.004469,0.000000
4.850000,0.000000,0.000000,0.003840,0.003124,0.000000
4.900000,0.000000,0.000000,0.003171,0.002626,0.000000
4.950000,0.000000,0.000000,0.002540,0.002412,0.000000
5.000000,0.000000,0.000000,0.002004,0.001936,0.000000
5.050000,0.000000,0.000000,0.001621,0.001923,0.000000
5.100000,0.000000,0.000000,0.001090,0.001714,0.000000
5.150000,0.000000,0.000000,0.000568,0.001361,0.000000
5.200000,0.000000,0.000000,0.000728,0.001134,0.000000
5.250000,0.000000,0.000000,0.000755,0.000966,0.000000
5.300000,0.000000,0.000000,0.000761,0.001024,0.000000
5.350000,0.000000,0.000000,0.001078,0.001188,0.000000
5.400000,0.000000,0.000000,0.001113,0.001093,0.000000
5.450000,0.000000,0.000000,0.001303,0.001268,0.000000
5.500000,0.000000,0.000000,0.001840,0.001527,0.000000
5.550000,0.000000,0.000000,0.002134,0.001984,0.000000
5.600000,0.000000,0.000000,0.002330,0.002204,0.000000
5.650000,0.000000,0.000000,0.002544,0.002422,0.000000
5.700000,0.000000,0.000000,0.002688,0.002605,0.000000
5.750000,0.000000,0.000000,0.002680,0.002294,0.000000
5.800000,0.000000,0.000000,0.002633,0.002103,0.000000
5.850000,0.000000,0.000000,0.002176,0.001445,0.000000
5.900000,0.000000,0.000000,0.001647,0.001158,0.000000
5.950000,0.000000,0.000000,0.001335,0.000969,0.000000
6.000000,0.000000,0.000000,0.001078,0.000988,0.000000
6.050000,0.000000,0.000000,0.000936,0.000943,0.000000
6.100000,0.000000,0.000000,0.000926,0.000931,0.000000
6.150000,0.000000,0.000000,0.000985,0.000896,0.000000
6.200000,0.000000,0.000000,0.000949,0.000977,0.000000
6.250000,0.000000,0.000000,0.000900,0.000739,0.000000
6.300000,0.000000,0.000000,0.000993,0.000844,0.000000
6.350000,0.000000,0.000000,0.001205,0.001128,0.000000
6.400000,0.000000,0.000000,0.001248,0.000990,0.000000
6.450000,0.000000,0.000000,0.001408,0.001157,0.000000
6.500000,0.000000,0.000000,0.001751,0.001414,0.000000
6.550000,0.000000,0.000000,0.001711,0.001258,0.000000
6.600000,0.000000,0.000000,0.001577,0.001164,0.000000
